,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",33397,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"Dusk Till Dawn - Radio Edit",ZAYN,24518,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
3,"New Rules","Dua Lipa",23048,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
4,Havana,"Camila Cabello",19780,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
5,1-800-273-8255,Logic,19204,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
6,"Jocelyn Flores",XXXTENTACION,19174,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
7,Unforgettable,"French Montana",18338,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
8,Silence,Marshmello,17268,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
9,"Mi Gente","J Balvin",17006,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
10,"What Lovers Do (feat. SZA)","Maroon 5",16913,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
11,"Too Good At Goodbyes - Edit","Sam Smith",16562,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
12,"Friends (with BloodPop®)","Justin Bieber",16161,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
13,"Felices los 4",Maluma,16093,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
14,"Me Rehúso","Danny Ocean",15529,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
15,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",14898,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
16,"XO TOUR Llif3","Lil Uzi Vert",14771,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
17,Congratulations,"Post Malone",14205,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
18,"Sorry Not Sorry","Demi Lovato",13946,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
19,"Look What You Made Me Do","Taylor Swift",13615,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
20,"Feel It Still","Portugal. The Man",13192,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
21,Thunder,"Imagine Dragons",13098,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
22,Attention,"Charlie Puth",12545,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
23,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",12454,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
24,"What About Us",P!nk,12338,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
25,"Shape of You","Ed Sheeran",12143,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
26,Mama,"Jonas Blue",12113,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
27,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",11916,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
28,"Glorious (feat. Skylar Grey)",Macklemore,11780,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
29,"I Fall Apart","Post Malone",11749,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
30,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",11657,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
31,Aleluia,"Wet Bed Gang",11020,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
32,HUMBLE.,"Kendrick Lamar",10799,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
33,"Gucci Gang","Lil Pump",10610,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
34,"More Than You Know","Axwell /\ Ingrosso",10537,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
35,"Lonely Together (feat. Rita Ora)",Avicii,10527,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
36,Perfect,"Ed Sheeran",10442,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
