,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",26116,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,Unforgettable,"French Montana",24756,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,"Felices los 4",Maluma,22762,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
4,"New Rules","Dua Lipa",21569,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,"Look What You Made Me Do","Taylor Swift",21521,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
6,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",19991,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
7,1-800-273-8255,Logic,18951,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
8,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",17962,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
9,Mama,"Jonas Blue",17869,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
10,"2U (feat. Justin Bieber)","David Guetta",17725,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
11,"XO TOUR Llif3","Lil Uzi Vert",17397,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
12,"Friends (with BloodPop®)","Justin Bieber",17203,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
13,Havana,"Camila Cabello",16355,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
14,"Sorry Not Sorry","Demi Lovato",16291,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
15,Attention,"Charlie Puth",16243,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
16,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",15960,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
17,Silence,Marshmello,15257,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
18,"Me Rehúso","Danny Ocean",14459,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
19,"...Ready For It?","Taylor Swift",13765,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2
