,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I'm the One","DJ Khaled",20319,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",18982,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",18090,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
4,"Shape of You","Ed Sheeran",17586,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
5,"Despacito - Remix","Luis Fonsi",16925,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
6,HUMBLE.,"Kendrick Lamar",16814,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
7,Attention,"Charlie Puth",16324,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
8,"There's Nothing Holdin' Me Back","Shawn Mendes",15939,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
9,Unforgettable,"French Montana",15321,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
10,"Amar pelos Dois","Salvador Sobral",14691,https://open.spotify.com/track/3UjSOJ00E1eLMcayBm827Q
11,"Sign of the Times","Harry Styles",13668,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
12,"Symphony (feat. Zara Larsson)","Clean Bandit",13345,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
13,"Something Just Like This","The Chainsmokers",13152,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
14,"Stay (with Alessia Cara)",Zedd,12855,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
15,"SUBEME LA RADIO","Enrique Iglesias",12599,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
16,"Mask Off",Future,12143,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
17,"No Promises (feat. Demi Lovato)","Cheat Codes",11775,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
18,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",11638,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
19,Malibu,"Miley Cyrus",11582,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
20,"It Ain't Me (with Selena Gomez)",Kygo,11158,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
21,Heaven,"Richie Campbell",10951,https://open.spotify.com/track/3CqELUCD4xPw5ERPXTyPq1
22,Passionfruit,Drake,10950,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
23,"That's What I Like","Bruno Mars",10912,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
24,"Scared to Be Lonely","Martin Garrix",10635,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
25,Thunder,"Imagine Dragons",10390,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
26,Cold,"Maroon 5",10186,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
27,Believer,"Imagine Dragons",9941,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
28,"XO TOUR Llif3","Lil Uzi Vert",9509,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
29,Issues,"Julia Michaels",8990,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
30,"Galway Girl","Ed Sheeran",8830,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
31,"There for You","Martin Garrix",8608,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
32,"First Time",Kygo,8594,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
33,"Olha a Explosão","MC Kevinho",8472,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
34,"Now Or Never",Halsey,8423,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e
35,"Strip That Down","Liam Payne",8199,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
36,1-800-273-8255,Logic,8178,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
37,"Felices los 4",Maluma,8065,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
38,Paris,"The Chainsmokers",8030,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
39,Congratulations,"Post Malone",7892,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
40,"Crying in the Club","Camila Cabello",7888,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
41,DNA.,"Kendrick Lamar",7811,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
42,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",7772,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
43,"Só Eu Sei",Virgul,7707,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
44,"Se Não Acordar Amanhã",Piruka,7634,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
45,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,7522,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
46,"Good Life (with G-Eazy & Kehlani)",G-Eazy,7290,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
47,"Bad Liar","Selena Gomez",7138,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
48,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",6998,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
49,"Não Se Passa Nada",Piruka,6988,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
50,Starboy,"The Weeknd",6793,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
51,"The Cure","Lady Gaga",6749,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
52,"I Feel It Coming","The Weeknd",6027,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
53,Mama,"Jonas Blue",5905,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
54,"Chantaje (feat. Maluma)",Shakira,5782,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
55,"You Don't Know Me - Radio Edit","Jax Jones",5620,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
56,"Say You Won't Let Go","James Arthur",5527,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
57,Location,Khalid,5428,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
58,Down,"Fifth Harmony",5399,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ
59,Rainha,Virgul,5210,https://open.spotify.com/track/47Sfqrh6K17VYJEagJMlki
60,"Solo Dance","Martin Jensen",5068,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
61,Redbone,"Childish Gambino",4983,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
62,Paradinha,Anitta,4701,https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs
63,"Call On Me - Ryan Riback Extended Remix",Starley,4527,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
64,"Me Rehúso","Danny Ocean",4476,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
65,"O Grave Bater","MC Kevinho",4435,https://open.spotify.com/track/1bUazU9SSOh02AdlOPeTvm
66,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",4422,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
67,Rollin,"Calvin Harris",4377,https://open.spotify.com/track/3FDrI0FLKzrYQiWxPhqV2W
68,"Slow Hands","Niall Horan",4256,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
69,"Fake Love",Drake,4214,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
