,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",31694,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"Salto Alto",Piruka,22023,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
3,Havana,"Camila Cabello",21754,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
4,"Dusk Till Dawn - Radio Edit",ZAYN,21059,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
5,"New Rules","Dua Lipa",20851,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
6,Wolves,"Selena Gomez",19101,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
7,Perfect,"Ed Sheeran",18900,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
8,"Échame La Culpa","Luis Fonsi",18552,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
9,"Too Good At Goodbyes","Sam Smith",18152,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
10,"Não Faz Isso",Piruka,17842,https://open.spotify.com/track/0D8wUCg5XGHfWQIEzMmJAl
11,Silence,Marshmello,17605,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
12,"Gucci Gang","Lil Pump",17131,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
13,"What Lovers Do (feat. SZA)","Maroon 5",16932,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
14,Downtown,Anitta,15352,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
15,"I Fall Apart","Post Malone",14893,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
16,Unforgettable,"French Montana",14833,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
17,"Me Rehúso","Danny Ocean",14804,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
18,"Let You Down",NF,14312,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
19,1-800-273-8255,Logic,14171,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
20,"Feel It Still","Portugal. The Man",13024,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
21,Congratulations,"Post Malone",12926,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
22,"XO TOUR Llif3","Lil Uzi Vert",12554,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
23,Aleluia,"Wet Bed Gang",12462,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
24,"How Long","Charlie Puth",12376,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
25,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",12132,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
26,"Shape of You","Ed Sheeran",11683,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
27,Thunder,"Imagine Dragons",11527,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
28,"O Clima",Lhast,11520,https://open.spotify.com/track/2KTw4vRM6mdBzMlVkInvSS
29,"Jocelyn Flores",XXXTENTACION,10906,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
30,"Felices los 4",Maluma,10852,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
31,"Mi Gente","J Balvin",10678,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
32,"Reggaetón Lento (Remix)",CNCO,10610,https://open.spotify.com/track/5PB8zB1MOZASboLquvinMF
33,"Friends (with BloodPop®)","Justin Bieber",10557,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
34,Stargazing,Kygo,10551,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
35,"Lonely Together (feat. Rita Ora)",Avicii,10456,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
36,Attention,"Charlie Puth",10330,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
37,"Cala a Boca","Holly Hood",10206,https://open.spotify.com/track/4iF4gAu0yfKFhQATEa6oXh
38,"Young Dumb & Broke",Khalid,10041,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
39,"Esfrega Esfrega","Deejay Telio",9914,https://open.spotify.com/track/3029IUQQ26whiZDLqUMWLC
40,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",9543,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
41,"A Different Way (with Lauv)","DJ Snake",9274,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
42,"Bank Account","21 Savage",9181,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
43,"What About Us",P!nk,9148,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
44,"Sorry Not Sorry","Demi Lovato",9110,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
45,"Candy Paint","Post Malone",8638,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
46,"Trevo (Tu)",ANAVITÓRIA,8586,https://open.spotify.com/track/0o21KBZdbK4M0iY3mBwVmm
47,"Glorious (feat. Skylar Grey)",Macklemore,8530,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
48,HUMBLE.,"Kendrick Lamar",8359,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
49,"A Vida Toda","Carolina Deslandes",7726,https://open.spotify.com/track/1pc6Ssg5obznItjcqRFWbM
50,"Walk On Water (feat. Beyoncé)",Eminem,7547,https://open.spotify.com/track/5b2QnYcT9rQIkhRWt4HztQ
51,"I Miss You (feat. Julia Michaels)","Clean Bandit",7189,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
52,"More Than You Know","Axwell /\ Ingrosso",7021,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
53,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",6991,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
54,"Certidão de Óbito",Piruka,6983,https://open.spotify.com/track/4S4uXv6c73k9UWaLCxUCHI
55,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",6881,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
56,Mama,"Jonas Blue",6719,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
57,"Mi Gente (feat. Beyoncé)","J Balvin",6503,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
58,Espera,"Fernando Daniel",6490,https://open.spotify.com/track/4sipXe74USgyzJrKWNJuvC
59,"Se Não Acordar Amanhã",Piruka,6468,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
60,Maluco,Karetus,6274,https://open.spotify.com/track/6h6rII20UySFUHiM3RPi6p
61,"A Nossa Vez",Calema,5857,https://open.spotify.com/track/5WB70PqZqozarhWv1LCuvL
62,Pray,"Sam Smith",5852,https://open.spotify.com/track/7DsX5K72fewVGb47qj7Tbg
63,Naked,"James Arthur",5794,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
64,"Too Much To Ask","Niall Horan",5776,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK
65,"Havana - Remix","Camila Cabello",5708,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ
66,Fácil,"Holly Hood",5656,https://open.spotify.com/track/48xv7MWpMcpagWkgywOpXT
67,"Não Se Passa Nada",Piruka,5650,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
68,"No Limit",G-Eazy,5265,https://open.spotify.com/track/2Xqd0wUttjueBfdcltADOv
69,"Mo Boy",Dillaz,5164,https://open.spotify.com/track/0A3b3cu2JPBUTGC6qJEqUy
70,"Man's Not Hot","Big Shaq",5074,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
71,MotorSport,Migos,4973,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
72,"Ric Flair Drip (& Metro Boomin)",Offset,4948,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
73,"No Promises (feat. Demi Lovato)","Cheat Codes",4736,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
74,"Tip Toe (feat. French Montana)","Jason Derulo",4723,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
75,Oquelávai,D.A.M.A.,4635,https://open.spotify.com/track/7HBb0h45HuqUIBmVqN3s92
76,"All I Want for Christmas Is You","Mariah Carey",4592,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
77,"No vaya a ser","Pablo Alborán",4586,https://open.spotify.com/track/6ZZOdrcqRZzTCwGlsy00SU
78,"Filho da Guida","9 Miller",4494,https://open.spotify.com/track/75AvbbGV21JDfukB6BTGBi
