,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",37249,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"New Rules","Dua Lipa",25844,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
3,Havana,"Camila Cabello",24676,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
4,"Dusk Till Dawn - Radio Edit",ZAYN,24629,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
5,1-800-273-8255,Logic,20891,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
6,Unforgettable,"French Montana",19924,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
7,Silence,Marshmello,18494,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
8,"Jocelyn Flores",XXXTENTACION,18467,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
9,"Me Rehúso","Danny Ocean",18261,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
10,"Mi Gente","J Balvin",18092,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
11,"Too Good At Goodbyes - Edit","Sam Smith",17865,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
12,"What Lovers Do (feat. SZA)","Maroon 5",16843,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
13,"Friends (with BloodPop®)","Justin Bieber",16542,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
14,Congratulations,"Post Malone",16321,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
15,"Feel It Still","Portugal. The Man",15944,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
16,"Felices los 4",Maluma,15865,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
17,"XO TOUR Llif3","Lil Uzi Vert",15794,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
18,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",15635,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
19,"What About Us",P!nk,15074,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
20,"Sorry Not Sorry","Demi Lovato",14725,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
21,Thunder,"Imagine Dragons",13831,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
22,"I Fall Apart","Post Malone",13616,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
23,"Esfrega Esfrega","Deejay Telio",13252,https://open.spotify.com/track/3029IUQQ26whiZDLqUMWLC
24,Attention,"Charlie Puth",12873,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
25,"Look What You Made Me Do","Taylor Swift",12510,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
26,Aleluia,"Wet Bed Gang",12188,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
27,"Let You Down",NF,12036,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
