,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",31303,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
2,"Mi Gente","J Balvin",22471,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,"New Rules","Dua Lipa",22469,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
4,"Dusk Till Dawn - Radio Edit",ZAYN,22446,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
5,Unforgettable,"French Montana",21254,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
6,1-800-273-8255,Logic,20218,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
7,"Felices los 4",Maluma,18317,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
8,"Too Good At Goodbyes - Edit","Sam Smith",17556,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
9,Havana,"Camila Cabello",17549,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
10,Silence,Marshmello,17086,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
11,"Friends (with BloodPop®)","Justin Bieber",16454,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
12,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",16343,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
13,"Jocelyn Flores",XXXTENTACION,16161,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
14,"Me Rehúso","Danny Ocean",15419,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
15,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",15305,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
16,"XO TOUR Llif3","Lil Uzi Vert",14876,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
17,"Look What You Made Me Do","Taylor Swift",14785,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
18,"Sorry Not Sorry","Demi Lovato",14457,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
19,"What Lovers Do (feat. SZA)","Maroon 5",14397,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
20,Congratulations,"Post Malone",14069,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
21,Mama,"Jonas Blue",13119,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
22,"Glorious (feat. Skylar Grey)",Macklemore,13017,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
23,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",12940,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
24,Attention,"Charlie Puth",12895,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
25,"2U (feat. Justin Bieber)","David Guetta",12888,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
26,"Shape of You","Ed Sheeran",12488,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
27,Thunder,"Imagine Dragons",12054,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
28,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",11983,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
29,HUMBLE.,"Kendrick Lamar",11375,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
30,"What About Us",P!nk,10996,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
31,"Strip That Down","Liam Payne",10879,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
32,"More Than You Know","Axwell /\ Ingrosso",10629,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
33,"Bank Account","21 Savage",10601,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
34,"Feel It Still","Portugal. The Man",10485,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
35,"There's Nothing Holdin' Me Back","Shawn Mendes",10166,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
36,"No Promises (feat. Demi Lovato)","Cheat Codes",9926,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
37,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",9572,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
38,"Without You (feat. Sandro Cavazza)",Avicii,9557,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
39,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",9344,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
40,"Too Much To Ask","Niall Horan",8943,https://open.spotify.com/track/3hRZsdTF5uyGA2uhNqEuhm
41,"Something Just Like This","The Chainsmokers",8597,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
