,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",25763,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,Unforgettable,"French Montana",24327,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,"Felices los 4",Maluma,22806,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
4,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",20909,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
5,"Look What You Made Me Do","Taylor Swift",20323,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
6,"New Rules","Dua Lipa",20007,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
7,"Friends (with BloodPop®)","Justin Bieber",18842,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
8,"2U (feat. Justin Bieber)","David Guetta",18328,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
9,Mama,"Jonas Blue",18180,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
10,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",18055,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
11,Attention,"Charlie Puth",17331,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
12,"XO TOUR Llif3","Lil Uzi Vert",16901,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
13,1-800-273-8255,Logic,16537,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
14,"Sorry Not Sorry","Demi Lovato",15512,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
15,Havana,"Camila Cabello",15389,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
16,Silence,Marshmello,14728,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
17,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",14572,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
18,"Strip That Down","Liam Payne",14338,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
19,"Me Rehúso","Danny Ocean",14330,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
20,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",13983,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
21,"Shape of You","Ed Sheeran",13842,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
22,"There's Nothing Holdin' Me Back","Shawn Mendes",13279,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
23,Congratulations,"Post Malone",13247,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
24,Thunder,"Imagine Dragons",12997,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
25,HUMBLE.,"Kendrick Lamar",12874,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
26,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",12435,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
27,"More Than You Know","Axwell /\ Ingrosso",11919,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
28,"No Promises (feat. Demi Lovato)","Cheat Codes",11534,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
29,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",11280,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
30,"Glorious (feat. Skylar Grey)",Macklemore,11035,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
31,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",10416,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
32,"Fetish (feat. Gucci Mane)","Selena Gomez",10253,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
33,"Without You (feat. Sandro Cavazza)",Avicii,9988,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
34,"There for You","Martin Garrix",9653,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
35,"Something Just Like This","The Chainsmokers",9504,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
36,"Mask Off",Future,9441,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
37,Believer,"Imagine Dragons",9408,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
38,"Jocelyn Flores",XXXTENTACION,9088,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
39,"Despacito - Remix","Luis Fonsi",9041,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
40,"Symphony (feat. Zara Larsson)","Clean Bandit",8325,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
41,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",8157,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
42,"Get Low (with Liam Payne)",Zedd,7959,https://open.spotify.com/track/1CKd1PnqfYx0H12V9MSaIY
43,"Bank Account","21 Savage",7919,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
44,"What About Us",P!nk,7804,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
45,Heaven,"Richie Campbell",7734,https://open.spotify.com/track/3CqELUCD4xPw5ERPXTyPq1
