,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",25422,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2,"2U (feat. Justin Bieber)","David Guetta",22991,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
3,Unforgettable,"French Montana",22821,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
4,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",21889,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
5,Attention,"Charlie Puth",21323,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
6,"Shape of You","Ed Sheeran",18227,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
7,"Despacito - Remix","Luis Fonsi",17829,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
8,"There's Nothing Holdin' Me Back","Shawn Mendes",17155,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
9,Mama,"Jonas Blue",16470,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
10,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",16316,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
11,Thunder,"Imagine Dragons",16085,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
12,Congratulations,"Post Malone",16020,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
13,"XO TOUR Llif3","Lil Uzi Vert",15776,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
14,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",15651,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
15,Believer,"Imagine Dragons",15640,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
16,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",15496,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
17,"Strip That Down","Liam Payne",15155,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
18,HUMBLE.,"Kendrick Lamar",14480,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
19,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",14350,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
20,"There for You","Martin Garrix",14292,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
21,"Felices los 4",Maluma,13232,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
22,"Something Just Like This","The Chainsmokers",13044,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
23,"Crying in the Club","Camila Cabello",13008,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
24,Signs,Drake,12952,https://open.spotify.com/track/6Na5uKk5SsqZimk0hAWo8y
25,"No Promises (feat. Demi Lovato)","Cheat Codes",12914,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
26,"Stay (with Alessia Cara)",Zedd,12809,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
27,"Symphony (feat. Zara Larsson)","Clean Bandit",12464,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
28,"SUBEME LA RADIO","Enrique Iglesias",11844,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
29,"Mask Off",Future,11614,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
30,Redbone,"Childish Gambino",11262,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
31,"Bad Liar","Selena Gomez",10801,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
32,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",10764,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
33,"Now Or Never",Halsey,9951,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e
34,Heaven,"Richie Campbell",9837,https://open.spotify.com/track/3CqELUCD4xPw5ERPXTyPq1
35,"First Time",Kygo,9708,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
36,Malibu,"Miley Cyrus",9630,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
37,"Sign of the Times","Harry Styles",9618,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
38,"That's What I Like","Bruno Mars",9596,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
39,"Scared to Be Lonely","Martin Garrix",9453,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
40,"It Ain't Me (with Selena Gomez)",Kygo,9416,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
41,"Mi Gente","J Balvin",9060,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
42,1-800-273-8255,Logic,9046,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
43,"Galway Girl","Ed Sheeran",9032,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
44,"Rollin (feat. Future & Khalid)","Calvin Harris",8889,https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau
45,Passionfruit,Drake,8680,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
46,Cold,"Maroon 5",8656,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
47,Starboy,"The Weeknd",8151,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
48,"Olha a Explosão","MC Kevinho",7727,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
49,Location,Khalid,7666,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
50,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,7588,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
51,"Amar pelos Dois","Salvador Sobral",7565,https://open.spotify.com/track/3UjSOJ00E1eLMcayBm827Q
52,Paris,"The Chainsmokers",7432,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
53,"More Than You Know","Axwell /\ Ingrosso",6790,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
54,"Slow Hands","Niall Horan",6758,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
55,"Your Song","Rita Ora",6710,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
56,"Whatever It Takes","Imagine Dragons",6666,https://open.spotify.com/track/4IWAyPf1KMq7JCyGeCjTeH
57,"I Feel It Coming","The Weeknd",6503,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
58,"Me Rehúso","Danny Ocean",5950,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
59,DNA.,"Kendrick Lamar",5866,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
60,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",5743,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
