,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",36561,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,Havana,"Camila Cabello",29569,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3,"Dusk Till Dawn - Radio Edit",ZAYN,23889,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
4,"New Rules","Dua Lipa",23552,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,Silence,Marshmello,19335,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
6,"What Lovers Do (feat. SZA)","Maroon 5",19011,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
7,1-800-273-8255,Logic,18620,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
8,Unforgettable,"French Montana",17741,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
9,Wolves,"Selena Gomez",17242,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
10,"Too Good At Goodbyes - Edit","Sam Smith",17127,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
11,"Friends (with BloodPop®)","Justin Bieber",17059,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
12,"Feel It Still","Portugal. The Man",16689,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
13,"Me Rehúso","Danny Ocean",16686,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
14,"I Fall Apart","Post Malone",15716,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
15,"Mi Gente","J Balvin",15247,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
16,"Jocelyn Flores",XXXTENTACION,15227,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
17,"Let You Down",NF,15132,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
18,"Gucci Gang","Lil Pump",15113,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
19,Congratulations,"Post Malone",14676,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
20,"XO TOUR Llif3","Lil Uzi Vert",14625,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
21,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",14302,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
22,"Felices los 4",Maluma,14181,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
23,Thunder,"Imagine Dragons",13644,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
24,"What About Us",P!nk,13613,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
25,"Sorry Not Sorry","Demi Lovato",13365,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
26,Aleluia,"Wet Bed Gang",13105,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
27,"Esfrega Esfrega","Deejay Telio",13088,https://open.spotify.com/track/3029IUQQ26whiZDLqUMWLC
28,"Reggaetón Lento (Remix)",CNCO,12963,https://open.spotify.com/track/3zoYkqS4y2BsGVShPL2nTE
29,Perfect,"Ed Sheeran",12750,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
30,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",12199,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
31,"Mi Gente (feat. Beyoncé)","J Balvin",12067,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
32,"Não Sinto","Wet Bed Gang",12025,https://open.spotify.com/track/0W6ZrhDZMhWI12rSMQzJb4
33,"Shape of You","Ed Sheeran",11951,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
34,"Glorious (feat. Skylar Grey)",Macklemore,11648,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
35,Attention,"Charlie Puth",11640,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
36,Mama,"Jonas Blue",11256,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
37,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",11237,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
38,"Look What You Made Me Do","Taylor Swift",11201,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
39,"More Than You Know","Axwell /\ Ingrosso",11104,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
40,"How Long","Charlie Puth",11032,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
41,HUMBLE.,"Kendrick Lamar",10544,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
